idJEMS;seq;campo;status;valor_csv;valor_milanesa
3559;1;titleOrig;DIVERGE;Capa dos anais de SBIE 2015;Capa dos anais do SBIE 2015
3559;1;autores;DIVERGE;Diego Dermeval | Sérgio Crespo;Denys Rocha
3560;2;autores;DIVERGE;Sérgio Crespo Coelho da Silva Pinto | Sérgio Crespo Coelho da Silva Pinto | Diego Dermeval Medeiros da Cunha Matos;Sérgio Crespo Coelho da Silva Pinto | Diego Dermeval Medeiros da Cunha Matos
3517;3;autores;DIVERGE;Eduardo Honorato | Carlos Schocair | João Quadros | Rafael Castaneda | Jorge Soares ...;Eduardo Honorato | Carlos Otávio Schocair Mendes | João Roberto Quadros | Rafael Castaneda | Jorge Soares ...
3517;3;abstractOrig;DIVERGE;O conhecimento e compreensão de vetores e grandezas vetoriais é extremamente importante para descrever o movimento dos objetos na física do ensino médio. Considerando-se que vetores e grandezas vetoriais são tópicos da física em que muitos estudantes têm dificuldades, é interessante explorar novas formas de apresentá-los. Nesse sentido, este trabalho tem como objetivo explorar uma nova aplicação de m-learning chamado LabVetor. O aplicativo é projetado para ensino e aprendizagem de algumas operações simples com vetores em dispositivos móveis. LabVetor pode ser usado por professores em sala de aula, por meio de quadros interativos, e pelos alunos em casa, como uma aplicação m-learning para treinamento. O LabVetor foi avaliado por um grupo de estudantes e mostrou ser uma ferramenta útil para auxiliar a compreensão e reflexão do conteúdo apresentado em sala de aula.;
3517;3;abstractEn;DIVERGE;The knowledge and understanding of vectors and vector quantities is extremely important to learn the motion of objects in physics at high school. Considering that vectors and vector quantities are a physics topic in which many students have difficulties, it is important to explore new ways to present them. In this vein, this study aims to explore a new m-learning application named Lab-Vetor. The application is designed for teaching and learning vectors on mobile devices. LabVetor can either be used by teachers in the classroom, through interactive whiteboards, and by the students at home as an m-learning training application. The LabVetor was evaluated by a group of students and showed to be a useful tool to assist the comprehension and reflection of the content learned in classroom.;
3518;4;autores;DIVERGE;Jonas Piccin Laroza | Rodrigo Duarte Seabra;Jonas Laroza | Rodrigo Seabra
3518;4;abstractOrig;DIVERGE;O ensino da UML é um processo complexo. A metodologia tradicional de ensino pautada apenas por aulas expositivas não se caracteriza como a estratégia mais adequada para ensinar conceitos de modelagem de forma que os estudantes assimilem com êxito o conteúdo e as boas práticas de engenharia de software envolvidas nesta atividade. O estudo propõe o uso de uma ferramenta que contribuirá para o incentivo do aprendiz na busca do conhecimento relativo à UML, apresentando uma nova abordagem no ensino do tema por meio de um recurso educacional aberto denominado REA-UML. Os principais resultados mostraram que a ferramenta proposta se apresenta como uma boa alternativa a ser explorada em sala de aula contribuindo para a aprendizagem do tema.;
3518;4;abstractEn;DIVERGE;Teaching UML is a complex process. The traditional teaching methodology guided only by lectures is not characterized as the most appropriate strategy to teach modeling concepts so that students successfully learn the contents and the good software engineering practices involved in this activity. The study proposes using a tool that will contribute to stimulating the apprentice in pursuit of knowledge concerning the UML, presenting a new approach in teaching the topic through an open educational resource named REA-UML. The main results showed that the tool proposed is a good alternative to be used in the classroom contributing to learning the theme.;
3519;5;autores;DIVERGE;João Pedro Dewes Guterres | Milene Selbach Silveira;João Guterres | Milene Silveira
3519;5;abstractOrig;DIVERGE;Learning Management Systems (LMS) tem se destacado como uma importante ferramenta de apoio à aprendizagem. Para se entender o contexto atual destes sistemas, foi realizada uma revisão da literatura, a qual embasou também uma discussão sobre desafios e novas possibilidades de uso destes sistemas. Foram identificadas adaptações que necessitam ser feitas para tornar este tipo de sistema mais aberto, pessoal, social, flexível, analítico e móvel. A ideia é que as discussões abordadas apoiem as equipes pedagógicas, de desenvolvimento e pesquisadores que atuam nesta área na incorporação e construção de novas ferramentas e metodologias neste campo.;
3519;5;abstractEn;DIVERGE;Learning Management Systems (LMS) are important tools to learning support. In order to understand the state of art of these systems, a literature review was done, grounding a discussion about their challenges and possibilities. The paper highlights adjustments that need to be done to make these systems more open, personal, social, flexible, analytical and mobile. The idea is to support pedagogical and development teams, and researchers that work in this area and want to incorporate and construct new tools and methodologies in this field.;
3520;6;idJEMS;AUSENTE_MILANESA;3520;
3521;7;idJEMS;AUSENTE_MILANESA;3521;
3522;8;idJEMS;AUSENTE_MILANESA;3522;
3523;9;idJEMS;AUSENTE_MILANESA;3523;
3524;10;idJEMS;AUSENTE_MILANESA;3524;
3525;11;idJEMS;AUSENTE_MILANESA;3525;
3526;12;idJEMS;AUSENTE_MILANESA;3526;
3527;13;idJEMS;AUSENTE_MILANESA;3527;
3528;14;idJEMS;AUSENTE_MILANESA;3528;
3529;15;idJEMS;AUSENTE_MILANESA;3529;
3530;16;idJEMS;AUSENTE_MILANESA;3530;
3531;17;idJEMS;AUSENTE_MILANESA;3531;
3533;18;idJEMS;AUSENTE_MILANESA;3533;
3535;19;idJEMS;AUSENTE_MILANESA;3535;
3537;20;idJEMS;AUSENTE_MILANESA;3537;
3539;21;idJEMS;AUSENTE_MILANESA;3539;
3541;22;idJEMS;AUSENTE_MILANESA;3541;
3543;23;idJEMS;AUSENTE_MILANESA;3543;
3545;24;idJEMS;AUSENTE_MILANESA;3545;
3547;25;idJEMS;AUSENTE_MILANESA;3547;
3549;26;idJEMS;AUSENTE_MILANESA;3549;
3551;27;idJEMS;AUSENTE_MILANESA;3551;
3553;28;idJEMS;AUSENTE_MILANESA;3553;
3555;29;idJEMS;AUSENTE_MILANESA;3555;
3557;30;idJEMS;AUSENTE_MILANESA;3557;
3561;31;idJEMS;AUSENTE_MILANESA;3561;
3562;32;idJEMS;AUSENTE_MILANESA;3562;
3563;33;idJEMS;AUSENTE_MILANESA;3563;
3564;34;idJEMS;AUSENTE_MILANESA;3564;
3566;35;idJEMS;AUSENTE_MILANESA;3566;
3568;36;idJEMS;AUSENTE_MILANESA;3568;
3570;37;idJEMS;AUSENTE_MILANESA;3570;
3572;38;idJEMS;AUSENTE_MILANESA;3572;
3574;39;idJEMS;AUSENTE_MILANESA;3574;
3576;40;idJEMS;AUSENTE_MILANESA;3576;
3578;41;idJEMS;AUSENTE_MILANESA;3578;
3580;42;idJEMS;AUSENTE_MILANESA;3580;
3582;43;idJEMS;AUSENTE_MILANESA;3582;
3584;44;idJEMS;AUSENTE_MILANESA;3584;
3657;45;idJEMS;AUSENTE_MILANESA;3657;
3659;46;idJEMS;AUSENTE_MILANESA;3659;
3660;47;idJEMS;AUSENTE_MILANESA;3660;
3661;48;idJEMS;AUSENTE_MILANESA;3661;
3662;49;idJEMS;AUSENTE_MILANESA;3662;
3663;50;idJEMS;AUSENTE_MILANESA;3663;
3664;51;idJEMS;AUSENTE_MILANESA;3664;
3665;52;idJEMS;AUSENTE_MILANESA;3665;
3667;53;idJEMS;AUSENTE_MILANESA;3667;
3668;54;idJEMS;AUSENTE_MILANESA;3668;
3669;55;idJEMS;AUSENTE_MILANESA;3669;
3674;56;idJEMS;AUSENTE_MILANESA;3674;
3675;57;idJEMS;AUSENTE_MILANESA;3675;
3676;58;idJEMS;AUSENTE_MILANESA;3676;
3678;59;idJEMS;AUSENTE_MILANESA;3678;
3679;60;idJEMS;AUSENTE_MILANESA;3679;
3680;61;idJEMS;AUSENTE_MILANESA;3680;
3681;62;idJEMS;AUSENTE_MILANESA;3681;
3683;63;idJEMS;AUSENTE_MILANESA;3683;
3685;64;idJEMS;AUSENTE_MILANESA;3685;
3687;65;idJEMS;AUSENTE_MILANESA;3687;
3689;66;idJEMS;AUSENTE_MILANESA;3689;
3691;67;idJEMS;AUSENTE_MILANESA;3691;
3693;68;idJEMS;AUSENTE_MILANESA;3693;
3695;69;idJEMS;AUSENTE_MILANESA;3695;
3697;70;idJEMS;AUSENTE_MILANESA;3697;
